Season,Squad,GF,GA,GD,Pts,xG,xGA,xGD
2021,Manchester City,83,32,+51,86,73.3,31.4,+42.0
2021,Manchester Utd,73,44,+29,74,60.2,42.2,+18.0
2021,Liverpool,68,42,+26,69,72.6,45.3,+27.3
2021,Chelsea,58,36,+22,67,64.0,32.8,+31.2
2021,Leicester City,68,50,+18,66,56.0,47.7,+8.3
2021,West Ham,62,47,+15,65,53.9,48.3,+5.6
2021,Tottenham,68,45,+23,62,54.5,49.5,+5.0
2021,Arsenal,55,39,+16,61,53.5,44.3,+9.2
2021,Leeds United,62,54,+8,59,57.5,62.9,-5.4
2021,Everton,47,48,-1,59,47.1,52.0,-4.9
2021,Aston Villa,55,46,+9,55,52.9,52.9,+0.1
2021,Newcastle Utd,46,62,-16,45,41.0,54.0,-13.0
2021,Wolves,36,52,-16,45,39.9,45.8,-6.0
2021,Crystal Palace,41,66,-25,44,32.4,57.5,-25.0
2021,Southampton,47,68,-21,43,42.4,54.2,-11.8
2021,Brighton,40,46,-6,41,51.6,37.7,+13.9
2021,Burnley,33,55,-22,39,39.9,57.6,-17.7
2021,Fulham,27,53,-26,28,41.3,52.9,-11.7
2021,West Brom,35,76,-41,26,33.8,67.7,-34.0
2021,Sheffield Utd,20,63,-43,23,31.4,62.4,-31.0
1920,Liverpool,85,33,+52,99,71.5,40.0,+31.5
1920,Manchester City,102,35,+67,81,93.0,34.7,+58.3
1920,Manchester Utd,66,36,+30,66,59.4,37.4,+22.0
1920,Chelsea,69,54,+15,66,66.6,37.9,+28.6
1920,Leicester City,67,41,+26,62,61.6,44.5,+17.1
1920,Tottenham,61,47,+14,59,46.1,52.0,-6.0
1920,Wolves,51,40,+11,59,47.1,34.8,+12.3
1920,Arsenal,56,48,+8,56,49.2,56.6,-7.3
1920,Sheffield Utd,39,39,0,54,41.5,47.9,-6.4
1920,Burnley,43,50,-7,54,43.9,48.3,-4.4
1920,Southampton,51,60,-9,52,54.0,53.1,+0.9
1920,Everton,44,56,-12,49,49.3,48.4,+0.9
1920,Newcastle Utd,38,58,-20,44,33.1,58.3,-25.2
1920,Crystal Palace,31,50,-19,43,34.0,51.3,-17.3
1920,Brighton,39,54,-15,41,41.2,54.5,-13.3
1920,West Ham,49,62,-13,39,46.2,61.1,-14.8
1920,Aston Villa,41,67,-26,35,40.1,65.9,-25.8
1920,Bournemouth,40,65,-25,34,42.7,57.5,-14.8
1920,Watford,36,64,-28,34,45.1,57.3,-12.2
1920,Norwich City,26,75,-49,21,38.0,61.9,-23.9
1819,Manchester City,95,23,+72,98,82.0,25.3,+56.7
1819,Liverpool,89,22,+67,97,74.9,31.0,+43.9
1819,Chelsea,63,39,+24,72,58.9,34.9,+24.0
1819,Tottenham,67,39,+28,71,57.9,45.3,+12.7
1819,Arsenal,73,51,+22,70,58.0,54.1,+3.9
1819,Manchester Utd,65,54,+11,66,59.3,48.2,+11.2
1819,Wolves,47,46,+1,57,49.0,38.0,+10.9
1819,Everton,54,46,+8,54,47.3,46.4,+0.9
1819,Leicester City,51,48,+3,52,49.7,44.5,+5.2
1819,West Ham,52,55,-3,52,48.0,61.8,-13.8
1819,Watford,52,59,-7,50,48.1,54.5,-6.4
1819,Crystal Palace,51,53,-2,49,50.8,48.1,+2.7
1819,Newcastle Utd,42,48,-6,45,39.6,53.7,-14.1
1819,Bournemouth,56,70,-14,45,54.3,55.4,-1.1
1819,Burnley,45,68,-23,40,41.0,63.0,-22.0
1819,Southampton,45,65,-20,39,46.1,55.8,-9.6
1819,Brighton,35,60,-25,36,33.8,55.7,-21.9
1819,Cardiff City,34,69,-35,34,39.3,61.3,-22.0
1819,Fulham,34,81,-47,26,39.0,65.4,-26.4
1819,Huddersfield,22,76,-54,16,29.3,63.9,-34.7
1718,Manchester City,106,27,+79,100,86.4,22.8,+63.6
1718,Manchester Utd,68,28,+40,81,60.7,41.7,+18.9
1718,Tottenham,74,36,+38,77,67.3,35.0,+32.3
1718,Liverpool,84,38,+46,75,72.8,34.0,+38.8
1718,Chelsea,62,38,+24,70,57.9,35.3,+22.7
1718,Arsenal,74,51,+23,63,68.4,50.5,+17.9
1718,Burnley,36,39,-3,54,34.5,51.8,-17.2
1718,Everton,44,58,-14,49,41.5,52.3,-10.9
1718,Leicester City,56,60,-4,47,48.1,49.9,-1.8
1718,Newcastle Utd,39,47,-8,44,45.3,53.4,-8.1
1718,Crystal Palace,45,55,-10,44,56.1,50.6,+5.5
1718,Bournemouth,45,61,-16,44,44.8,61.4,-16.6
1718,West Ham,48,68,-20,42,39.8,59.3,-19.4
1718,Watford,44,64,-20,41,47.4,57.9,-10.6
1718,Brighton,34,54,-20,40,37.2,52.6,-15.5
1718,Huddersfield,28,58,-30,37,31.7,55.2,-23.5
1718,Southampton,37,56,-19,36,42.1,48.8,-6.7
1718,Swansea City,28,56,-28,33,30.5,59.5,-29.0
1718,Stoke City,35,68,-33,33,37.5,63.8,-26.2
1718,West Brom,31,56,-25,31,34.4,48.5,-14.1
